"Timestamp"," 1. What is your year of study? ","2. Are you a domestic or international student? (Domestic meaning you lived or resided in Canada 3+ years before starting university. International meaning you lived abroad prior to beginning university studies). ","3. Which degree are you currently pursuing?","4.  What do you identify as? (Self-Identification is voluntary and you can choose to select the option of ""I do not wish to answer"")","5. Do you identify as someone with Accessibility Needs? ","6. What is your CGPA?","7. What kind of classes are you currently attending? ","8. For in-person classes, on average, how long is your commute to UTM? (One-way)","9. The location of where I am currently living impacts my attendance for in-person class (on-campus vs. off-campus). ","10. My type of commute to school determines whether I’m more likely to attend an in-person class (Walking, Bus, Train, Car, etc.) ","11. My commute time impacts my in-person class attendance. ","12. What would be your most common reasons for skipping an in-person class? Please select your top 3.   ","13. What would be your most common reasons for skipping online classes? Please select your top 3. "," Traditional style lecture (professor teaching material through educational talk, slides, and physical examples)  ","Hybrid style lecture including collaborative group work and presentations","Live Lectures (Synchronous) ","Recorded lectures with Office Hours (Asynchronous) ","14. On average, for a particular course in each semester how often do you say you skip (online or in-person) classes? ","15. Which classes based on Eastern Time are you more likely to skip?","16. Are you more likely to attend class (online or in-person) if the professor requires mandatory participation during lecture (class discussions, quizzes using software such as Quercus, TopHat, etc.)?  ","18. Do you feel your attendance affects your overall CGPA? ","19. Generally, do you classify yourself as one who attends or skips class? "
"2021/02/10 5:39:31 PM AST","Third","Domestic","Honours Bachelor of Science","Female","No","3.0 - 3.49","A combination of online and in person courses","15-30 min","Agree","Strongly Agree","Agree","To Study (Prepare for a Test or Assignment);Instructor posts class material online (lecture notes, recordings, etc.);COVID-19 precautions (cases going up, risk of infection, etc.)","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Mental health as a result of COVID-19 (stress, etc.)","3","3","2","4","Rarely (25% of the time)","Afternoon (12:00pm – 3:59 pm)","Yes","No","Attend"
"2021/02/10 5:39:31 PM AST","Second","Domestic","Honours Bachelor of Science","Female","No","2.0 - 2.99","Only online courses","","","","","","To Work;Dislike of teaching method;Mental health as a result of COVID-19 (stress, etc.)","4","3","2","3","Frequently (75% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Skip"
"2021/02/10 5:40:10 PM AST","First","International","Honours Bachelor of Science","Male","No","2.0 - 2.99","Only online courses","","","","","","Time of Class as per your time zone","1","1","1","3","Very Rarely (less than 5% of the time)","Evening (4:00 pm – 9:00 pm)","Yes","Yes","Attend"
"2021/02/10 5:40:26 PM AST","Second","International","Bachelor of Commerce","Male","No","3.5 - 4.0","Only online courses","","","","","","Time of Class as per your time zone;To Study (Prepare for a Test or Assignment);Dislike of teaching method;I don't usually skip classes","1","1","3","1","Very Rarely (less than 5% of the time)","Evening (4:00 pm – 9:00 pm)","Yes","Yes","Attend"
"2021/02/10 5:40:49 PM AST","First","Domestic","Honours Bachelor of Science","Female","No","3.5 - 4.0","Only online courses","","","","","","Time of Class as per your time zone;General sickness (headaches, cold, fever, etc.);Easy to use external resources if needed (Internet, friends, etc.)","3","2","3","2","Never","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 5:41:04 PM AST","Second","International","Honours Bachelor of Science","Male","Yes","Less than 1.5","Only online courses","","","","","","Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.)","1","2","4","3","Rarely (25% of the time)","Afternoon (12:00pm – 3:59 pm)","Yes","Yes","Skip"
"2021/02/10 5:41:10 PM AST","Fourth","Domestic","Honours Bachelor of Arts","I do not wish to answer","I do not wish to answer","3.5 - 4.0","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Poor sleep habits;Constant weekly assignments/quizzes on top of attending classes, readings and substantial assingments/test.","3","4","1","2","Rarely (25% of the time)","Night (9pm - 6:59am)","No","No","Attend"
"2021/02/10 5:41:29 PM AST","More than 4","Domestic","Honours Bachelor of Science","Female","Yes","2.0 - 2.99","Only online courses","","","","","","Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.);General sickness (headaches, cold, fever, etc.)","1","3","3","2","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","No","Attend"
"2021/02/10 5:42:51 PM AST","Second","Domestic","Honours Bachelor of Science","Female","No","2.0 - 2.99","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Poor sleep habits","4","1","3","3","Very Rarely (less than 5% of the time)","Afternoon (12:00pm – 3:59 pm)","Yes","No","Attend"
"2021/02/10 5:43:35 PM AST","First","Domestic","Bachelor of Commerce","Male","No","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment)","3","2","2","4","Never","Evening (4:00 pm – 9:00 pm)","Yes","No","Attend"
"2021/02/10 5:43:37 PM AST","Third","International","Honours Bachelor of Science","Female","I do not wish to answer","2.0 - 2.99","Only online courses","","","","","","Dislike of teaching method;Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.);General sickness (headaches, cold, fever, etc.)","1","2","3","3","Sometimes (50% of the time)","Morning (7:00am – 11:59am)","No","No","Attend"
"2021/02/10 5:43:40 PM AST","Fourth","Domestic","Honours Bachelor of Science","Female","No","3.5 - 4.0","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Mental health as a result of COVID-19 (stress, etc.);I can watch the recording ","4","2","3","2","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 5:44:05 PM AST","Second","Domestic","Honours Bachelor of Science","Female","No","3.5 - 4.0","Only online courses","","","","","","To Work;Technical issues (connection, equipment, etc.);General sickness (headaches, cold, fever, etc.)","4","4","2","4","Never","Night (9pm - 6:59am)","Yes","Yes","Attend"
"2021/02/10 5:44:08 PM AST","First","Domestic","Honours Bachelor of Science","Male","No","3.5 - 4.0","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);To Work;Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.)","4","4","4","4","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 5:44:09 PM AST","First","Domestic","Honours Bachelor of Arts","Female","No","3.5 - 4.0","Only online courses","","","","","","Time of Class as per your time zone;To Study (Prepare for a Test or Assignment);Dislike of teaching method","4","1","3","3","Never","Night (9pm - 6:59am)","Yes","Yes","Attend"
"2021/02/10 5:44:32 PM AST","First","Domestic","Honours Bachelor of Science","Male","No","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Technical issues (connection, equipment, etc.)","4","4","3","4","Never","Morning (7:00am – 11:59am)","Yes","No","Attend"
"2021/02/10 5:44:46 PM AST","Second","Domestic","Bachelor of Commerce","Female","No","3.5 - 4.0","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Mental health as a result of COVID-19 (stress, etc.)","1","3","3","1","Very Rarely (less than 5% of the time)","Evening (4:00 pm – 9:00 pm)","Yes","Yes","Attend"
"2021/02/10 5:44:46 PM AST","First","Domestic","Honours Bachelor of Arts","Female","No","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Poor sleep habits","1","3","3","1","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","No","Yes","Attend"
"2021/02/10 5:44:51 PM AST","Third","International","Bachelor of Commerce","Female","No","3.0 - 3.49","Only online courses","","","","","","Time of Class as per your time zone;Dislike of teaching method;Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.)","4","3","2","3","Very Rarely (less than 5% of the time)","Evening (4:00 pm – 9:00 pm)","Yes","Yes","Attend"
"2021/02/10 5:45:30 PM AST","First","Domestic","Honours Bachelor of Arts","Female","No","2.0 - 2.99","Only online courses","","","","","","Dislike of teaching method;Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.)","3","2","4","1","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","No","Attend"
"2021/02/10 5:45:31 PM AST","Second","International","Honours Bachelor of Science","Female","No","2.0 - 2.99","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.)","4","3","2","1","Very Rarely (less than 5% of the time)","Evening (4:00 pm – 9:00 pm)","No","Yes","Attend"
"2021/02/10 5:45:34 PM AST","Second","Domestic","Honours Bachelor of Science","Female","No","3.5 - 4.0","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);To Work","1","1","1","1","Never","Afternoon (12:00pm – 3:59 pm)","Yes","Yes","Attend"
"2021/02/10 5:45:44 PM AST","Second","Domestic","Honours Bachelor of Science","Female","No","2.0 - 2.99","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Poor sleep habits;if i find the class not helpful I would rather use that time for something more productive","3","1","3","4","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","No","Attend"
"2021/02/10 5:45:50 PM AST","First","Domestic","Honours Bachelor of Arts","Female","No","3.0 - 3.49","Only online courses","","","","","","Poor sleep habits;Technical issues (connection, equipment, etc.);General sickness (headaches, cold, fever, etc.)","2","3","4","1","Never","Night (9pm - 6:59am)","No","Yes","Attend"
"2021/02/10 5:45:52 PM AST","Third","Domestic","Honours Bachelor of Arts","Female","No","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Mental health as a result of COVID-19 (stress, etc.)","1","3","3","2","Very Rarely (less than 5% of the time)","Night (9pm - 6:59am)","Yes","Yes","Attend"
"2021/02/10 5:45:58 PM AST","First","Domestic","Honours Bachelor of Science","Female","No","Prefer not to answer","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.)","4","2","3","4","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","No","Attend"
"2021/02/10 5:46:02 PM AST","Third","Domestic","Honours Bachelor of Arts","Female","No","3.5 - 4.0","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Poor sleep habits;General sickness (headaches, cold, fever, etc.)","2","3","1","4","Very Rarely (less than 5% of the time)","Night (9pm - 6:59am)","Yes","Yes","Attend"
"2021/02/10 5:46:06 PM AST","First","International","Honours Bachelor of Science","Female","No","3.5 - 4.0","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);To Work;Mental health as a result of COVID-19 (stress, etc.)","4","3","4","1","Very Rarely (less than 5% of the time)","Night (9pm - 6:59am)","Yes","Yes","Attend"
"2021/02/10 5:46:25 PM AST","First","International","Honours Bachelor of Science","Female","No","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.);General sickness (headaches, cold, fever, etc.);Easy to use external resources if needed (Internet, friends, etc.)","3","3","3","4","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","No","No","Attend"
"2021/02/10 5:46:27 PM AST","Fourth","Domestic","Honours Bachelor of Science","Female","No","3.5 - 4.0","A combination of online and in person courses","> 90 min","Agree","Disagree","Agree","To Study (Prepare for a Test or Assignment);General sickness (headaches, cold, fever, etc.);COVID-19 precautions (cases going up, risk of infection, etc.)","To Study (Prepare for a Test or Assignment);General sickness (headaches, cold, fever, etc.);Easy to use external resources if needed (Internet, friends, etc.)","2","1","3","2","Very Rarely (less than 5% of the time)","Evening (4:00 pm – 9:00 pm)","Yes","Yes","Attend"
"2021/02/10 5:46:31 PM AST","Second","Domestic","Honours Bachelor of Arts","Female","No","3.5 - 4.0","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Poor sleep habits;Technical issues (connection, equipment, etc.)","1","1","1","1","Never","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 5:46:43 PM AST","Second","Domestic","Honours Bachelor of Science","Female","No","3.5 - 4.0","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.)","1","1","2","3","Sometimes (50% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 5:46:43 PM AST","Third","Domestic","Honours Bachelor of Science","Male","No","2.0 - 2.99","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);To Work;Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.);General sickness (headaches, cold, fever, etc.)","3","1","3","3","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","No","Attend"
"2021/02/10 5:46:43 PM AST","Second","Domestic","Bachelor of Commerce","Male","No","3.0 - 3.49","Only online courses","","","","","","Easy to use external resources if needed (Internet, friends, etc.)","4","1","4","4","Very Rarely (less than 5% of the time)","Afternoon (12:00pm – 3:59 pm)","Yes","No","Attend"
"2021/02/10 5:47:21 PM AST","Fourth","Domestic","Honours Bachelor of Science","Female","No","2.0 - 2.99","Only online courses","","","","","","Time of Class as per your time zone;Dislike of teaching method;Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.);General sickness (headaches, cold, fever, etc.);Im on the screen 6+ hours a day, I have chronic onset headaches, and its extremely hard to focus in classes that require synchronus particpation.","4","1","1","4","Rarely (25% of the time)","Evening (4:00 pm – 9:00 pm)","No","Yes","Attend"
"2021/02/10 5:47:21 PM AST","Second","Domestic","Honours Bachelor of Science","Female","No","3.0 - 3.49","Only online courses","","","","","","Dislike of teaching method;Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.)","1","3","1","4","Frequently (75% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Skip"
"2021/02/10 5:47:42 PM AST","Fourth","Domestic","Honours Bachelor of Science","Male","No","2.0 - 2.99","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Classes are recorded so you can just watched then at another time","4","4","3","2","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 5:48:04 PM AST","First","Domestic","Honours Bachelor of Science","Female","No","3.5 - 4.0","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);recorded- can view after","1","4","3","2","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 5:48:07 PM AST","Third","Domestic","Honours Bachelor of Science","Female","Yes","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Technical issues (connection, equipment, etc.);Easy to use external resources if needed (Internet, friends, etc.)","3","4","1","2","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 5:48:10 PM AST","First","Domestic","Honours Bachelor of Science","Female","No","3.5 - 4.0","Only online courses","","","","","","Dislike of teaching method;Technical issues (connection, equipment, etc.);General sickness (headaches, cold, fever, etc.)","3","1","2","1","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","No","Attend"
"2021/02/10 5:48:11 PM AST","More than 4","Domestic","Honours Bachelor of Science","Female","No","2.0 - 2.99","Only online courses","","","","","","Mental health as a result of COVID-19 (stress, etc.);Easy to use external resources if needed (Internet, friends, etc.)","1","2","1","1","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 5:48:13 PM AST","More than 4","Domestic","Honours Bachelor of Science","Male","No","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Technical issues (connection, equipment, etc.)","4","1","2","4","Frequently (75% of the time)","Morning (7:00am – 11:59am)","Yes","No","Skip"
"2021/02/10 5:48:18 PM AST","First","International","Honours Bachelor of Science","Female","No","3.5 - 4.0","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);To Work;Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.);Easy to use external resources if needed (Internet, friends, etc.)","2","1","3","4","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","No","Attend"
"2021/02/10 5:48:32 PM AST","First","Domestic","Honours Bachelor of Science","Female","No","3.5 - 4.0","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.)","3","2","3","3","Never","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 5:48:34 PM AST","Third","Domestic","Honours Bachelor of Science","Male","No","3.5 - 4.0","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Poor sleep habits;Easy to use external resources if needed (Internet, friends, etc.)","4","3","1","4","Always","Morning (7:00am – 11:59am)","Yes","No","Skip"
"2021/02/10 5:48:47 PM AST","First","Domestic","Honours Bachelor of Arts","Female","No","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Technical issues (connection, equipment, etc.)","3","1","1","2","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 5:48:47 PM AST","More than 4","Domestic","Honours Bachelor of Arts","Male","No","3.0 - 3.49","Only online courses","","","","","","Mental health as a result of COVID-19 (stress, etc.)","1","1","2","3","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","No","Yes","Attend"
"2021/02/10 5:48:55 PM AST","First","Domestic","Honours Bachelor of Arts","Male","No","3.0 - 3.49","Only online courses","","","","","","Time of Class as per your time zone;Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.)","1","4","4","1","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 5:49:07 PM AST","Fourth","Domestic","Honours Bachelor of Science","Female","No","3.5 - 4.0","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);To Work;Dislike of teaching method;Mental health as a result of COVID-19 (stress, etc.)","1","4","4","1","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 5:49:31 PM AST","Second","International","Honours Bachelor of Arts","Female","No","Prefer not to answer","Only online courses","","","","","","Time of Class as per your time zone;To Study (Prepare for a Test or Assignment);Mental health as a result of COVID-19 (stress, etc.)","2","4","3","1","Sometimes (50% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Skip"
"2021/02/10 5:49:51 PM AST","More than 4","Domestic","Honours Bachelor of Science","Female","No","2.0 - 2.99","Only online courses","","","","","","Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.);General sickness (headaches, cold, fever, etc.)","1","2","3","4","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 5:49:51 PM AST","Third","Domestic","Honours Bachelor of Science","Male","No","3.0 - 3.49","Only online courses","","","","","","Dislike of teaching method;Mental health as a result of COVID-19 (stress, etc.);General sickness (headaches, cold, fever, etc.)","4","4","1","1","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","No","Attend"
"2021/02/10 5:50:13 PM AST","Fourth","Domestic","Honours Bachelor of Arts","Female","No","3.0 - 3.49","Only online courses","","","","","","Time of Class as per your time zone;To Work;Mental health as a result of COVID-19 (stress, etc.)","2","4","3","1","Sometimes (50% of the time)","Morning (7:00am – 11:59am)","No","No","Skip"
"2021/02/10 5:50:17 PM AST","First","International","Bachelor of Business Administration","Female","No","2.0 - 2.99","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Poor sleep habits;Technical issues (connection, equipment, etc.)","3","4","2","4","Rarely (25% of the time)","Afternoon (12:00pm – 3:59 pm)","Yes","Yes","Attend"
"2021/02/10 5:50:25 PM AST","First","Domestic","Honours Bachelor of Science","Male","No","3.5 - 4.0","Only online courses","","","","","","I’ve never skipped an online class except once, lost track of time","1","1","1","1","Never","Evening (4:00 pm – 9:00 pm)","Yes","Yes","Attend"
"2021/02/10 5:50:40 PM AST","First","Domestic","Honours Bachelor of Science","Female","No","N/A (if you have not completed your first semester)","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Mental health as a result of COVID-19 (stress, etc.)","1","2","4","4","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 5:50:41 PM AST","Fourth","Domestic","Bachelor of Commerce","Female","No","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Mental health as a result of COVID-19 (stress, etc.);Easy to use external resources if needed (Internet, friends, etc.)","1","3","2","4","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 5:50:43 PM AST","More than 4","Domestic","Honours Bachelor of Science","Female","No","2.0 - 2.99","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Poor sleep habits;Technical issues (connection, equipment, etc.)","2","1","2","1","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","No","Attend"
"2021/02/10 5:50:53 PM AST","Second","Domestic","Honours Bachelor of Science","Male","No","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Easy to use external resources if needed (Internet, friends, etc.)","2","4","3","1","Frequently (75% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Skip"
"2021/02/10 5:50:55 PM AST","Third","Domestic","Honours Bachelor of Arts","Female","Yes","1.5 - 1.99","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Poor sleep habits;General sickness (headaches, cold, fever, etc.)","2","3","3","3","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","No","Attend"
"2021/02/10 5:51:45 PM AST","First","Domestic","Honours Bachelor of Science","Male","No","2.0 - 2.99","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Technical issues (connection, equipment, etc.)","1","3","1","2","Never","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 5:51:58 PM AST","Second","Domestic","Honours Bachelor of Arts","Other","No","3.5 - 4.0","Only online courses","","","","","","Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.);General sickness (headaches, cold, fever, etc.)","4","2","4","3","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 5:52:06 PM AST","First","Domestic","Bachelor of Commerce","Female","Yes","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Accessibility Needs;Mental health as a result of COVID-19 (stress, etc.)","1","4","1","1","Rarely (25% of the time)","Afternoon (12:00pm – 3:59 pm)","Yes","Yes","Attend"
"2021/02/10 5:52:12 PM AST","Third","Domestic","Honours Bachelor of Science","Female","No","2.0 - 2.99","Only online courses","","","","","","Dislike of teaching method;Poor sleep habits;Easy to use external resources if needed (Internet, friends, etc.)","4","1","1","4","Sometimes (50% of the time)","Morning (7:00am – 11:59am)","Yes","No","Skip"
"2021/02/10 5:52:16 PM AST","First","Domestic","Bachelor of Commerce","Male","No","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Poor sleep habits","4","3","3","1","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","No","Attend"
"2021/02/10 5:52:16 PM AST","Second","Domestic","Honours Bachelor of Science","Male","No","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Poor sleep habits;Mental health as a result of COVID-19 (stress, etc.)","1","4","3","2","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","No","Attend"
"2021/02/10 5:52:22 PM AST","First","Domestic","Honours Bachelor of Science","Female","No","3.5 - 4.0","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);To Work;Poor sleep habits;Technical issues (connection, equipment, etc.)","4","2","4","3","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 5:52:22 PM AST","Fourth","Domestic","Honours Bachelor of Arts","Female","No","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.)","1","4","1","2","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","No","Attend"
"2021/02/10 5:52:25 PM AST","Third","International","Honours Bachelor of Science","Male","No","3.5 - 4.0","A combination of online and in person courses","< 15 min","Strongly Agree","Agree","Strongly Agree","i dont skip any in person class","To Study (Prepare for a Test or Assignment);Mental health as a result of COVID-19 (stress, etc.);Easy to use external resources if needed (Internet, friends, etc.)","4","4","4","2","Very Rarely (less than 5% of the time)","Afternoon (12:00pm – 3:59 pm)","Yes","No","Attend"
"2021/02/10 5:52:33 PM AST","Third","Domestic","Honours Bachelor of Science","Female","No","2.0 - 2.99","Only online courses","","","","","","To Work;Dislike of teaching method;Mental health as a result of COVID-19 (stress, etc.);General sickness (headaches, cold, fever, etc.);Easy to use external resources if needed (Internet, friends, etc.)","1","4","4","1","Rarely (25% of the time)","Evening (4:00 pm – 9:00 pm)","Yes","No","Attend"
"2021/02/10 5:52:37 PM AST","Second","Domestic","Bachelor of Business Administration","Female","No","3.0 - 3.49","Only online courses","","","","","","Time of Class as per your time zone;Dislike of teaching method;Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.)","2","3","1","3","Rarely (25% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
"2021/02/10 5:52:51 PM AST","First","Domestic","Honours Bachelor of Science","Male","No","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Mental health as a result of COVID-19 (stress, etc.)","4","3","1","2","Sometimes (50% of the time)","Evening (4:00 pm – 9:00 pm)","Yes","Yes","Attend"
"2021/02/10 5:53:01 PM AST","Third","Domestic","Honours Bachelor of Arts","Female","No","2.0 - 2.99","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);To Work;Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.);General sickness (headaches, cold, fever, etc.)","1","4","2","1","Very Rarely (less than 5% of the time)","Night (9pm - 6:59am)","No","Yes","Attend"
"2021/02/10 5:53:05 PM AST","First","Domestic","Honours Bachelor of Arts","Female","No","3.0 - 3.49","Only online courses","","","","","","Mental health as a result of COVID-19 (stress, etc.);Technical issues (connection, equipment, etc.);General sickness (headaches, cold, fever, etc.)","3","1","3","4","Never","Night (9pm - 6:59am)","No","Yes","Attend"
"2021/02/10 5:53:06 PM AST","Third","Domestic","Honours Bachelor of Science","Female","Yes","3.5 - 4.0","A combination of online and in person courses","< 15 min","Strongly Disagree","Strongly Disagree","Strongly Disagree","To Study (Prepare for a Test or Assignment);Instructor posts class material online (lecture notes, recordings, etc.);Dislike of teaching method","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Easy to use external resources if needed (Internet, friends, etc.)","4","1","3","1","Never","Night (9pm - 6:59am)","Yes","Yes","Attend"
"2021/02/10 5:53:07 PM AST","Second","Domestic","Honours Bachelor of Science","Female","No","3.0 - 3.49","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Dislike of teaching method;Poor sleep habits","1","3","2","4","Very Rarely (less than 5% of the time)","Evening (4:00 pm – 9:00 pm)","Yes","Yes","Attend"
"2021/02/10 5:53:09 PM AST","First","Domestic","Honours Bachelor of Science","Female","No","N/A (if you have not completed your first semester)","Only online courses","","","","","","To Study (Prepare for a Test or Assignment);Technical issues (connection, equipment, etc.)","4","4","4","2","Rarely (25% of the time)","Evening (4:00 pm – 9:00 pm)","Yes","Yes","Attend"
"2021/02/10 5:53:15 PM AST","Fourth","International","Honours Bachelor of Science","Female","No","3.5 - 4.0","Only online courses","","","","","","Technical issues (connection, equipment, etc.)","4","3","3","3","Never","Night (9pm - 6:59am)","Yes","No","Attend"
"2021/02/10 5:53:26 PM AST","Second","Domestic","Honours Bachelor of Science","Female","No","3.0 - 3.49","Only online courses","","","","","","Dislike of teaching method;Poor sleep habits","4","3","3","1","Very Rarely (less than 5% of the time)","Morning (7:00am – 11:59am)","Yes","Yes","Attend"
